sale_date,product_id,customer_id,quantity,promo_flag
2024-01-01,101,1,1439,0
2024-01-01,101,2,821,0
2024-01-01,101,3,949,0
2024-01-01,101,4,904,0
2024-01-01,101,6,578,0
2024-01-01,101,7,511,0
2024-01-01,101,8,715,0
2024-01-01,101,9,1122,0
2024-01-01,101,10,976,0
2024-01-01,101,11,896,0
2024-01-01,101,12,739,0
2024-01-01,101,14,747,0
2024-01-01,101,15,856,1
2024-01-01,102,1,1483,0
2024-01-01,102,3,917,0
2024-01-01,102,4,877,0
2024-01-01,102,5,578,0
2024-01-01,102,6,621,0
2024-01-01,102,7,583,0
2024-01-01,102,8,667,0
2024-01-01,102,9,1206,0
2024-01-01,102,10,842,0
2024-01-01,102,11,1505,1
2024-01-01,102,12,733,0
2024-01-01,102,13,375,0
2024-01-01,102,14,,1
2024-01-01,102,15,583,0
2024-01-01,103,1,1339,0
2024-01-01,103,2,775,0
2024-01-01,103,3,1017,0
2024-01-01,103,4,971,0
2024-01-01,103,5,501,0
2024-01-01,103,6,579,0
2024-01-01,103,8,714,0
2024-01-01,103,9,1613,1
2024-01-01,103,10,1056,0
2024-01-01,103,11,1027,0
2024-01-01,103,12,740,0
2024-01-01,103,13,413,0
2024-01-01,103,14,779,0
2024-01-01,103,15,554,0
2024-01-01,104,1,1263,0
2024-01-01,104,2,695,0
2024-01-01,104,3,896,0
2024-01-01,104,4,863,0
2024-01-01,104,5,580,0
2024-01-01,104,6,571,0
2024-01-01,104,7,523,0
2024-01-01,104,9,1127,0
2024-01-01,104,10,939,0
2024-01-01,104,11,974,0
2024-01-01,104,12,780,0
2024-01-01,104,13,420,0
2024-01-01,104,14,955,1
2024-01-01,104,15,640,0
2024-01-01,105,1,1395,0
2024-01-01,105,2,667,0
2024-01-01,105,3,929,0
2024-01-01,105,4,987,0
2024-01-01,105,5,484,0
2024-01-01,105,6,605,0
2024-01-01,105,7,512,0
2024-01-01,105,8,977,1
2024-01-01,105,9,1457,1
2024-01-01,105,10,1043,0
2024-01-01,105,11,1038,0
2024-01-01,105,12,916,0
2024-01-01,105,13,560,1
2024-01-01,105,14,637,0
2024-01-01,105,15,584,0
2024-01-01,106,1,0,0
2024-01-01,106,2,693,0
2024-01-01,106,3,984,0
2024-01-01,106,4,916,0
2024-01-01,106,6,586,0
2024-01-01,106,7,526,0
2024-01-01,106,10,967,0
2024-01-01,106,11,880,0
2024-01-01,106,12,898,0
2024-01-01,106,13,456,0
2024-01-01,106,14,631,0
2024-01-01,106,15,564,0
2024-01-01,108,1,1505,0
2024-01-01,108,2,789,0
2024-01-01,108,3,1218,1
2024-01-01,108,4,1052,0
2024-01-01,108,5,557,0
2024-01-01,108,6,674,0
2024-01-01,108,7,530,0
2024-01-01,108,8,608,0
2024-01-01,108,10,1040,0
2024-01-01,108,11,994,0
2024-01-01,108,12,827,0
2024-01-01,108,13,463,0
2024-01-01,108,14,659,0
2024-01-01,108,15,-25,0
2024-01-01,109,1,998,0
2024-01-01,109,2,504,0
2024-01-01,109,3,1387,1
2024-01-01,109,4,734,0
2024-01-01,109,5,723,1
2024-01-01,109,6,477,0
2024-01-01,109,7,382,0
2024-01-01,109,8,432,0
2024-01-01,109,9,908,0
2024-01-01,109,10,664,0
2024-01-01,109,11,1275,1
2024-01-01,109,12,593,0
2024-01-01,109,13,638,1
2024-01-01,109,14,909,1
2024-01-01,109,15,453,0
2024-01-01,110,1,929,0
2024-01-01,110,2,978,1
2024-01-01,110,3,1295,1
2024-01-01,110,4,705,0
2024-01-01,110,5,335,0
2024-01-01,110,6,410,0
2024-01-01,110,7,818,1
2024-01-01,110,9,862,0
2024-01-01,110,10,779,0
2024-01-01,110,11,767,0
2024-01-01,110,12,599,0
2024-01-01,110,13,333,0
2024-01-01,110,14,480,0
2024-01-01,110,15,447,0
2024-01-01,111,1,941,0
2024-01-01,111,3,1246,1
2024-01-01,111,4,1476,1
2024-01-01,111,6,444,0
2024-01-01,111,7,428,0
2024-01-01,111,8,515,0
2024-01-01,111,9,768,0
2024-01-01,111,10,757,0
2024-01-01,111,11,743,0
2024-01-01,111,12,558,0
2024-01-01,111,13,269,0
2024-01-01,111,14,497,0
2024-01-01,111,15,383,0
2024-01-01,112,1,1908,1
2024-01-01,112,3,1130,1
2024-01-01,112,4,1398,1
2024-01-01,112,5,411,0
2024-01-01,112,6,803,1
2024-01-01,112,7,405,0
2024-01-01,112,8,503,0
2024-01-01,112,9,1403,1
2024-01-01,112,10,708,0
2024-01-01,112,11,746,0
2024-01-01,112,12,633,0
2024-01-01,112,13,337,0
2024-01-01,112,14,987,1
2024-01-01,112,15,442,0
2024-01-01,113,2,485,0
2024-01-01,113,3,679,0
2024-01-01,113,4,753,0
2024-01-01,113,5,369,0
2024-01-01,113,6,491,0
2024-01-01,113,7,841,1
2024-01-01,113,8,467,0
2024-01-01,113,9,823,0
2024-01-01,113,10,695,0
2024-01-01,113,11,662,0
2024-01-01,113,12,539,0
2024-01-01,113,13,596,1
2024-01-01,113,14,963,1
2024-01-01,113,15,404,0
2024-01-01,114,1,942,0
2024-01-01,114,3,1323,1
2024-01-01,114,4,730,0
2024-01-01,114,5,343,0
2024-01-01,114,6,432,0
2024-01-01,114,7,393,0
2024-01-01,114,8,455,0
2024-01-01,114,9,1456,1
2024-01-01,114,10,1437,1
2024-01-01,114,11,1418,1
2024-01-01,114,12,567,0
2024-01-01,114,13,513,1
2024-01-01,114,15,891,1
2024-01-01,116,1,2040,1
2024-01-01,116,2,532,0
2024-01-01,116,3,1296,1
2024-01-01,116,4,689,0
2024-01-01,116,6,829,1
2024-01-01,116,7,355,0
2024-01-01,116,8,507,0
2024-01-01,116,9,861,0
2024-01-01,116,10,780,0
2024-01-01,116,11,719,0
2024-01-01,116,12,556,0
2024-01-01,116,13,279,0
2024-01-01,116,14,881,1
2024-01-01,116,15,393,0
2024-01-01,117,1,683,0
2024-01-01,117,2,397,0
2024-01-01,117,3,507,0
2024-01-01,117,4,507,0
2024-01-01,117,5,237,0
2024-01-01,117,6,333,0
2024-01-01,117,7,246,0
2024-01-01,117,8,364,0
2024-01-01,117,9,543,0
2024-01-01,117,11,457,0
2024-01-01,117,12,448,0
2024-01-01,117,13,236,0
2024-01-01,117,14,314,0
2024-01-01,117,15,302,0
2024-01-01,118,1,704,0
2024-01-01,118,2,335,0
2024-01-01,118,3,478,0
2024-01-01,118,4,512,0
2024-01-01,118,5,284,0
2024-01-01,118,6,300,0
2024-01-01,118,7,265,0
2024-01-01,118,8,341,0
2024-01-01,118,9,559,0
2024-01-01,118,10,498,0
2024-01-01,118,11,492,0
2024-01-01,118,12,434,0
2024-01-01,118,13,216,0
2024-01-01,118,14,357,0
2024-01-01,118,15,464,1
2024-01-01,119,1,745,0
2024-01-01,119,2,372,0
2024-01-01,119,3,513,0
2024-01-01,119,4,476,0
2024-01-01,119,5,288,0
2024-01-01,119,6,336,0
2024-01-01,119,7,271,0
2024-01-01,119,8,313,0
2024-01-01,119,9,603,0
2024-01-01,119,10,466,0
2024-01-01,119,11,481,0
2024-01-01,119,12,434,0
2024-01-01,119,13,224,0
2024-01-01,119,15,313,0
2024-01-01,120,1,743,0
2024-01-01,120,2,330,0
2024-01-01,120,3,500,0
2024-01-01,120,4,492,0
2024-01-01,120,5,258,0
2024-01-01,120,6,312,0
2024-01-01,120,7,283,0
2024-01-01,120,8,357,0
2024-01-01,120,9,578,0
2024-01-01,120,10,527,0
2024-01-01,120,13,236,0
2024-01-01,120,14,319,0
2024-01-01,120,15,288,0
2024-01-01,121,1,615,0
2024-01-01,121,2,360,0
2024-01-01,121,3,467,0
2024-01-01,121,4,440,0
2024-01-01,121,5,247,0
2024-01-01,121,6,311,0
2024-01-01,121,7,239,0
2024-01-01,121,8,343,0
2024-01-01,121,9,582,0
2024-01-01,121,10,475,0
2024-01-01,121,11,451,0
2024-01-01,121,12,389,0
2024-01-01,121,13,235,0
2024-01-01,121,14,367,0
2024-01-01,121,15,305,0
2024-01-01,122,1,946,1
2024-01-01,122,2,398,0
2024-01-01,122,3,475,0
2024-01-01,122,4,515,0
2024-01-01,122,5,272,0
2024-01-01,122,6,300,0
2024-01-01,122,7,286,0
2024-01-01,122,8,349,0
2024-01-01,122,9,610,0
2024-01-01,122,10,532,0
2024-01-01,122,11,524,0
2024-01-01,122,12,439,0
2024-01-01,122,13,234,0
2024-01-01,122,14,384,0
2024-01-01,122,15,324,0
2024-01-01,124,1,738,0
2024-01-01,124,3,479,0
2024-01-01,124,4,527,0
2024-01-01,124,5,247,0
2024-01-01,124,7,298,0
2024-01-01,124,8,511,1
2024-01-01,124,9,552,0
2024-01-01,124,10,483,0
2024-01-01,124,11,444,0
2024-01-01,124,12,439,0
2024-01-01,124,13,223,0
2024-01-01,124,14,319,0
2024-01-01,124,15,323,0
2024-01-01,125,2,372,0
2024-01-01,125,3,583,1
2024-01-01,125,4,432,0
2024-01-01,125,5,258,0
2024-01-01,125,6,294,0
2024-01-01,125,7,323,1
2024-01-01,125,8,267,0
2024-01-01,125,9,509,0
2024-01-01,125,10,400,0
2024-01-01,125,11,572,1
2024-01-01,125,12,346,0
2024-01-01,125,13,255,1
2024-01-01,125,14,294,0
2024-01-01,126,1,661,0
2024-01-01,126,2,337,0
2024-01-01,126,3,460,0
2024-01-01,126,5,240,0
2024-01-01,126,6,254,0
2024-01-01,126,7,256,0
2024-01-01,126,8,267,0
2024-01-01,126,9,489,0
2024-01-01,126,10,443,0
2024-01-01,126,11,443,0
2024-01-01,126,12,339,0
2024-01-01,126,13,197,0
2024-01-01,126,14,297,0
2024-01-01,126,15,254,0
2024-01-01,127,1,563,0
2024-01-01,127,2,326,0
2024-01-01,127,3,372,0
2024-01-01,127,4,594,1
2024-01-01,127,5,243,0
2024-01-01,127,6,258,0
2024-01-01,127,7,260,0
2024-01-01,127,8,331,0
2024-01-01,127,9,557,0
2024-01-01,127,10,408,0
2024-01-01,127,11,426,0
2024-01-01,127,12,403,0
2024-01-01,127,13,205,0
2024-01-01,127,14,283,0
2024-01-01,127,15,249,0
2024-01-01,128,1,595,0
2024-01-01,128,2,486,1
2024-01-01,128,3,429,0
2024-01-01,128,5,234,0
2024-01-01,128,6,299,0
2024-01-01,128,7,220,0
2024-01-01,128,9,569,0
2024-01-01,128,10,436,0
2024-01-01,128,11,466,0
2024-01-01,128,12,355,0
2024-01-01,128,13,198,0
2024-01-01,128,15,233,0
2024-01-01,129,1,570,0
2024-01-01,129,2,296,0
2024-01-01,129,3,404,0
2024-01-01,129,4,478,0
2024-01-01,129,5,302,1
2024-01-01,129,7,249,0
